"Id";"Name";"Order";"CategoryId";"Country";"Region";"IsActive";"CountryCode";"Language";"IsMajor";"IsInternational"
"sr:tournament:1";"European Championship";2;"sr:category:4";"International";"intl";1;"UFA";"en-US";1;1
"sr:tournament:1000";"Super League";1000;"sr:category:85";"Malaysia";"other";1;"";"en-US";0;0
"sr:tournament:1002";"Kuwait League";1000;"sr:category:331";"Kuwait";"other";0;"";"en-US";0;0
"sr:tournament:1006";"Elite One";1000;"sr:category:391";"Cameroon";"other";1;"";"en-US";0;0
"sr:tournament:1008";"Copa Del Sol";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:101";"J. League Cup";1000;"sr:category:52";"Japan";"other";0;"";"en-US";0;0
"sr:tournament:1015";"Liga 1";1000;"sr:category:368";"Indonesia";"other";1;"";"en-US";0;0
"sr:tournament:1016";"U21";1000;"sr:category:155";"Sweden Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1018";"Cyprus Women Cup";79;"sr:category:4";"International";"intl";1;"";"en-US";1;1
"sr:tournament:1020";"FA Cup";1000;"sr:category:322";"South Africa";"other";1;"";"en-US";0;0
"sr:tournament:1024";"Copa Argentina";1000;"sr:category:48";"Argentina";"other";1;"";"en-US";0;0
"sr:tournament:1026";"Kakkonen, Etelainen";1000;"sr:category:19";"Finland";"other";0;"";"en-US";0;0
"sr:tournament:1032";"Premier League";1000;"sr:category:485";"Thailand";"other";0;"";"en-US";0;0
"sr:tournament:1044";"The FA Women's Super League";1000;"sr:category:252";"England Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1048";"Spor Toto Cup";1000;"sr:category:46";"Turkey";"other";0;"";"en-US";0;0
"sr:tournament:1052";"U18 Slovakia Cup";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:1054";"CAF Champions League";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:1058";"Svenska Cup Women";1000;"sr:category:9";"Sweden";"other";0;"";"en-US";0;0
"sr:tournament:1060";"Baltic Cup";59;"sr:category:4";"International";"intl";1;"";"en-US";1;1
"sr:tournament:1062";"NM Cup Women";1000;"sr:category:5";"Norway";"other";0;"";"en-US";0;0
"sr:tournament:1072";"U23 Friendly Games";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:1074";"U20 Copa Libertadores";1000;"sr:category:392";"International Youth";"other";1;"";"en-US";0;1
"sr:tournament:1079";"Regionalliga Southwest";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1083";"Regionalliga Northeast";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1085";"Regionalliga Bavaria";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:1087";"PFL, East";1000;"sr:category:21";"Russia";"other";1;"";"en-US";0;0
"sr:tournament:1089";"Bayernliga North";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1091";"Bayernliga South";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1093";"PFL, South";1000;"sr:category:21";"Russia";"other";1;"";"en-US";0;0
"sr:tournament:1095";"PFL, Center";1000;"sr:category:21";"Russia";"other";1;"";"en-US";0;0
"sr:tournament:1097";"PFL, Ural-Povolzhye";1000;"sr:category:21";"Russia";"other";1;"";"en-US";0;0
"sr:tournament:1099";"PFL, West";1000;"sr:category:21";"Russia";"other";1;"";"en-US";0;0
"sr:tournament:11";"WC Qualification, UEFA";3;"sr:category:4";"International";"intl";1;"FFA";"en-US";1;1
"sr:tournament:1101";"Promotion League";1000;"sr:category:25";"Switzerland";"other";1;"";"en-US";0;0
"sr:tournament:1103";"Oberliga Niederrhein";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:1105";"Oberliga Mittelrhein";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:1107";"Supercup";1000;"sr:category:257";"Albania";"other";1;"";"en-US";0;0
"sr:tournament:1109";"Oberliga Rheinland-Pfalz";1000;"sr:category:122";"Germany Amateur";"other";0;"";"en-US";0;0
"sr:tournament:1111";"Northern League, Pr. Div";1000;"sr:category:252";"England Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1113";"Southern League, Pr. Div";1000;"sr:category:252";"England Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1115";"CAF Confederations Cup";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:1117";"Reserve League";1000;"sr:category:33";"Belgium";"other";0;"";"en-US";0;0
"sr:tournament:1119";"Supercopa de Catalunya";92;"sr:category:32";"Spain";"other";1;"ESP";"en-US";1;0
"sr:tournament:1125";"MTN 8";1000;"sr:category:322";"South Africa";"other";1;"";"en-US";0;0
"sr:tournament:1127";"Primera Division Women";96;"sr:category:32";"Spain";"other";1;"ESP";"en-US";1;0
"sr:tournament:1129";"Premier League 2";1000;"sr:category:252";"England Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1131";"Isthmian League, Pr. Div";1000;"sr:category:252";"England Amateur";"other";1;"";"en-US";0;0
"sr:tournament:1133";"U19 Championship";1000;"sr:category:44";"Portugal";"other";0;"";"en-US";0;0
"sr:tournament:1135";"Second Prof. League";1000;"sr:category:78";"Bulgaria";"other";1;"";"en-US";0;0
"sr:tournament:1137";"Premier League";1000;"sr:category:755";"Pakistan";"other";1;"";"en-US";0;0
"sr:tournament:1139";"Division 1 Women";116;"sr:category:7";"France";"other";1;"FRA";"en-US";1;0
"sr:tournament:1161";"Caribbean Cup";57;"sr:category:4";"International";"intl";1;"";"en-US";1;1
"sr:tournament:1191";"Premier League";1000;"sr:category:542";"Ghana";"other";0;"";"en-US";0;0
"sr:tournament:1205";"League Cup";1000;"sr:category:322";"South Africa";"other";1;"";"en-US";0;0
"sr:tournament:1211";"Ligue 1";1000;"sr:category:390";"Ivory Coast";"other";1;"";"en-US";0;0
"sr:tournament:1217";"Copa Centroamericana";52;"sr:category:4";"International";"intl";1;"COP";"en-US";1;1
"sr:tournament:1221";"Copa Chile";1000;"sr:category:49";"Chile";"other";1;"";"en-US";0;0
"sr:tournament:1222";"OFC Champions League";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:1224";"Winter League";1000;"sr:category:18";"Czech Republic";"other";0;"";"en-US";0;0
"sr:tournament:1226";"Premier League";1000;"sr:category:886";"Senegal";"other";1;"";"en-US";0;0
"sr:tournament:1230";"Torneos de Verano";1000;"sr:category:393";"International Clubs";"other";1;"";"en-US";0;1
"sr:tournament:1234";"Paulista, Serie A2";1000;"sr:category:13";"Brazil";"other";1;"";"en-US";0;0
"sr:tournament:1236";"Super Cup";1000;"sr:category:366";"Vietnam";"other";1;"";"en-US";0;0
"sr:tournament:1238";"Primera B";1000;"sr:category:274";"Colombia";"other";1;"";"en-US";0;0
"sr:tournament:1240";"Primera B";1000;"sr:category:49";"Chile";"other";1;"";"en-US";0;0
"sr:tournament:1244";"NextGen Series";1000;"sr:category:392";"International Youth";"other";1;"";"en-US";0;1
"sr:tournament:1246";"Viareggio Cup";1000;"sr:category:392";"International Youth";"other";1;"";"en-US";0;1
"sr:tournament:1248";"Brisbane Premier League";1000;"sr:category:34";"Australia";"other";0;"";"en-US";0;0
"sr:tournament:1250";"CAF Super Cup";1000;"sr:category:393";"International Clubs";"other";0;"";"en-US";0;1
"sr:tournament:1254";"Segunda Division";1000;"sr:category:280";"Paraguay";"other";1;"";"en-US";0;0
"sr:tournament:1258";"NPL, South Australia";1000;"sr:category:34";"Australia";"other";1;"";"en-US";0;0
"sr:tournament:1260";"NPL, Capital Football";1000;"sr:category:34";"Australia";"other";1;"";"en-US";0;0
"sr:tournament:1262";"Super Cup";1000;"sr:category:160";"Lithuania";"other";1;"";"en-US";0;0
"sr:tournament:1266";"Super Cup";1000;"sr:category:163";"Latvia";"other";0;"";"en-US";0;0
"sr:tournament:1268";"NPL, Queensland";1000;"sr:category:34";"Australia";"other";1;"";"en-US";0;0
"sr:tournament:1270";"NPL, Western Australia";1000;"sr:category:34";"Australia";"other";1;"";"en-US";0;0
"sr:tournament:1274";"NPL, New South Wales";1000;"sr:category:34";"Australia";"other";1;"";"en-US";0;0
"sr:tournament:1275";"NPL, Victoria";1000;"sr:category:34";"Australia";"other";1;"";"en-US";0;0
